wsp,pwr,cp,ct,rotsp,tsr
3,23,0.129802297862695,0.99099999666214,5.59612392,11.4079480096219
3.5,81,0.2878718473071,0.938000023365021,6.96956514,12.1780878392791
4,154,0.366656219098564,0.897000014781952,7.42980342,11.3594890430523
4.5,245,0.409681970709956,0.875,7.66477368,10.4166551583389
5,356,0.433968586802166,0.869000017642975,7.95149058,9.72568074964694
5.5,488,0.446940862153692,0.866999983787537,8.45062452,9.39653165309225
6,644,0.454308042519433,0.864000022411346,9.01145316,9.18512443702485
6.5,826,0.458308895044045,0.861000001430511,9.62824512,9.05889543353693
7,1037,0.460683805026949,0.859000027179718,10.1614491,8.87767150664466
7.5,1273,0.459793600498674,0.820999979972839,10.60138632,8.64455939127783
8,1528,0.454748947063804,0.769999980926514,10.6709187,8.15742875011033
8.5,1797,0.445871392844192,0.723999977111816,10.79701926,7.76830762765646
9,2039,0.426194662386531,0.680999994277954,10.92794136,7.42569849353135
9.5,2212,0.393126767753018,0.639999985694885,11.0445549,7.10994233018573
10,2325,0.354275619492639,0.517000019550323,11.1410112,6.81343435355242
10.5,2385,0.31393431907976,0.428000003099442,11.3,6.58158674272056
11,2400,0.274758726733827,0.363999992609024,11.4,6.33802037895134
11.5,2400,0.240456227686512,0.312999993562698,11.6,6.16881312245759
12,2400,0.211634181297873,0.273000001907349,11.7,5.96274285651343
12.5,2400,0.187240379024755,0.239999994635582,11.8,5.7731582118448
13,2400,0.166456015149169,0.211999997496605,11.8,5.55111366523538
13.5,2400,0.148637449690687,0.188999995589256,11.8,5.34551686281926
14,2400,0.133274003382917,0.170000001788139,11.8,5.15460554629
14.5,2400,0.119956985619,0.152999997138977,11.8,4.97686052745241
15,2400,0.108356700824511,0.137999996542931,11.8,4.81096517653733
15.5,2400,0.0982051935907418,0.126000002026558,11.8,4.65577275148774
16,2400,0.08928317023504,0.115000002086163,11.8,4.51027985300375
16.5,2400,0.0814099931063191,0.104999996721745,11.8,4.37360470594303
17,2400,0.0744359587385963,0.097000002861023,11.8,4.24496927341529
17.5,2400,0.0682362897320534,0.0890000015497208,11.8,4.123684437032
18,2400,0.0627064240882585,0.0820000022649765,11.8,4.00913764711444
18.5,2400,0.057758295111085,0.0759999975562096,11.8,3.90078257557081
19,2400,0.0533173735650567,0.0710000023245811,11.8,3.79813040252947
19.5,2400,0.0493203007849389,0.0659999996423721,11.8,3.70074244349025
20,2400,0.0457129831603405,0.061999998986721,11.8,3.608223882403
